Sample,Latitude,Longitude,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,CO2,SO3,S,F ,Cl,LOI,Ba,Co,Cr,Cs,Li,Ni,Rb,Sr,V,Zr
11,22.475,73.56,50.88,2.61,13.94,4.69,7.14,0.22,5.88,8.35,3.8,1.69,0.33,,,,,,,100,30,150,,40,150,,50,15,
ch-10,20.6,76.67,50.88,2.82,13.25,,14.37,0.19,5.67,10.25,1.97,0.32,0.28,,,,,,,176,,70,,,67,9,299,428,195
d126,21.96,78.935,50.88,2.89,12.57,3.92,7.36,0.19,7.52,8.3,2.66,1.2,0.41,,,,,,0.71,146.2,74.8,34.3,0.3,,40.9,21.4,193.4,418.8,235.2
mh83-7,22.82,75.56,50.88,3.36,13.7,,14.74,0.19,4.52,8.17,2.34,1.53,0.38,,,,,,,254,,108,,,50,53,251,427,236
g45,16.125,78.75,50.89,0.31,12,11.3,,0.14,12.82,11.42,0.98,0.1,0.04,,,,,,4.51,34,67,1218,9.9,,545,36,72,88,19
md23-4e,10.96666667,78.4,50.89,0.37,16.99,6.22,,0.12,10.41,11.88,1.64,0.21,0.03,,,,,,,90.273,38.12,98.12,0.115,,102.335,2.684,274.656,163.321,19.556
edd09/4,13,78,50.89,0.48,13.01,11.67,,0.18,12.56,10.24,1.46,0.37,0.07,,,,,,0,97,,890,,,300,12,98,203,44
77,17.25,77.625,50.89,1.76,13.03,7.03,6.65,0.1,9.07,8.54,2.3,0.1,0.08,,,,,,,,,,,,,,,,
kk-4,16.07,80.13,50.89,1.88,15.49,1.92,9.57,0.17,5.1,8.12,2.7,2.01,0.86,,,,,,0.33,2024,37.5,121,,,49.8,42.6,521,229,244
d4,22.4,78.625,50.89,3.09,13.22,,15.43,0.23,5.49,9.84,2.42,0.62,0.29,,,,,,,395,,60,,,41,15,238,428,16
nbd-28,21.0362,74.414,50.89833478,1.987265661,13.5965472,,14.58813303,0.233199542,5.373728572,9.520624772,1.804761671,1.733787898,0.263616873,,,,,,,197.8942107,46.54332,34.874255,0.391118,,45.198122,39.187921,179.366678,,147.842288
j-10,19.75,83.20833333,50.9,0.09,30.58,0.14,0.27,0.01,0.45,13.62,3.07,0.34,0.01,,,,,,,75,,7,,,3,,327,,
kt20,13.25,75.25,50.9,0.78,14.7,,11.9,0.17,7.9,10.62,2.8,2.26,,,,,,,1.4,279,46,343,,,153,,,181,110
k42f,15.25,79.75,50.9,0.78,17.66,2.44,6.3,0.14,5.11,12.41,2.55,0.32,0.06,,,,,,0.38,104,53.3,149,,,14.2,6.1,231,281,42.8
k42f,14.2,79.68,50.9,0.78,17.66,2.44,6.3,0.14,5.11,12.41,2.55,0.32,0.06,,,,,,0.38,104,53.3,149,,,14.2,6.1,231,281,42.8
sig-113,13.14,76.04,50.9,0.98,13.43,10.67,,0.11,16.2,2.25,0.07,0.16,0.08,,,,,,4.78,,104,3278,,,969,,,180,64
ba33,24.75,73.53,50.9,1.52,12.7,,13,0.18,7.7,10.79,1.39,0.32,0.14,,,,,,0.68,19,52,180,,,138,2,94,290,101
rt1a,17.05,81.57,50.9,2.74,13.2,,13.9,0.24,5.7,10,2.61,0.42,0.27,,,,,,0.4,145,,75,0.08,,45,7.4,210,430,165
gn-30,16.46,79.1,50.91,0.32,5.17,3.32,4.21,0.12,22.67,10.46,0.83,0.32,0.04,,,,,,,92,64,1186,,,468,3,62,156,17
1110b,14.2,76.4,50.91,0.56,15.49,1.78,8.89,,5.7,14.17,1.18,0.37,0.29,,,,,,,,,,,,,,,,
688,14.2,76.4,50.91,0.74,14.11,0.97,10.85,0.16,7.01,10.64,2.09,0.5,0.82,,,,,,,,,,,,,,,,
o8,24.625,73.75,50.91,0.79,11.42,1.18,6.6,0.13,12.68,10.97,3.75,0.41,0.15,,,,,,,170,23,487,,,365,,65,215,47
lak-129,14,78.13333333,50.91,0.95,14.12,13.74,,0.16,5.74,10.81,0.15,1.95,0.19,,,,,,0.95,104,67,377,0.07,,270,3.83,395,226,71
lak-129,14.1,78.1,50.91,0.95,14.12,13.74,,0.16,5.74,10.81,0.15,1.95,0.19,,,,,,0.95,104,67,377,0.07,,270,3.83,395,226,71
26,18.9725,81.4792,50.91,0.97,14.25,14.37,,0.19,6.67,10.68,2.28,0.38,0.13,,,,,,0.65,150,,123,,,116,14,114,,74
26,18.9725,81.47916667,50.91,0.97,14.25,14.37,,0.19,6.67,10.68,2.28,0.38,0.13,,,,,,0.65,150,,123,,,116,14,114,,74
98ma77,15.57,77.92,50.91,1.22,13.56,15.87,,0.26,5.68,9.57,2,0.17,0.13,,,,,,2.1,70,62.2,99,,,95,2.7,93.8,279,90.4
99ma80,15.53,78.18,50.91,1.31,13.69,14.35,,0.21,5.91,9.15,2.8,1.08,0.15,,,,,,2.07,324,51.9,256,,,69,30,200,192,87.7
9,17,80,50.91,2.52,8.1,2.54,6.47,0.12,11.68,7.35,1.16,4.11,0.8,,,,,,3.45,702,36,404,,14,247,,1025,40,
jh-14,19,74,50.91,2.63,13.5,,14.34,0.212,5.22,9.53,2.33,1.08,0.235,,,,,,,88,,100,,,67,27,233,429,161
ch83-17,21.69,77.91,50.91,3.04,12.76,,15.55,0.23,4.99,10.01,2.09,0.14,0.29,,,,,,,47,,39,,,32,0.295,230.1,427,190
jw-14,19,74,50.91643547,3.134994963,12.85288522,,15.21947965,0.229727995,4.901524025,9.17921772,2.386398566,0.86147998,0.317856406,,,,,,,140,,86,,,48,25,199,422,209
dd01,18.06,78.4692,50.92,1,14.34,13.57,,0.19,6.27,10.21,2.07,0.62,0.14,,,0.02225,,,0.5,189,37.8,164.1,,,116.4,34.6,139.1,326.9,88.2
tga-5,16.2041,77.8241,50.92,1.96,9.42,11.99,,0.18,13.47,8.15,2.83,0.7,0.39,,,,,,,422,45,795,1.7,,362,39,335,246,184
tga-5,16.20408333,77.82408333,50.92,1.96,9.42,11.99,,0.18,13.47,8.15,2.83,0.7,0.39,,,,,,,422,45,795,1.7,,362,39,335,246,184
wtf-13,19.86,73.525,50.92,2.11,14.48,13.56,,0.17,4.91,9.73,2.66,0.63,0.26,,,,,,0.38,185,43,65,,,64,23,255,337,159
m42,22,75,50.92,2.94,12.99,6.77,7.76,0.2,5.02,8.97,2.76,0.67,0.32,,,,,,,258,,,,,,,301,,209
m-183,22,75.75,50.93,1.37,15.3,,12.28,0.24,5.95,10.7,2.54,0.55,0.14,,,,,,,,,,,,,,,,
m-96,22,75.75,50.93,1.37,15.3,,12.28,0.24,5.95,10.7,2.54,0.55,0.14,,,,,,,,,,,,,,,,
249,20.35,72.91,50.93,1.93,13.54,2.35,11.97,0.18,5.78,9.12,2.39,1.64,0.19,,,,,,,266,43,151,,,65,30,175,321,128
190,20.35,72.91,50.93,2.08,13.46,2.43,12.41,0.2,5.54,9.18,2.93,0.63,0.21,,,,,,,184,23,157,,,62,,231,332,144
190,20.25,72.75,50.93,2.08,13.46,14.84,,0.2,5.54,9.18,2.93,0.63,0.21,,,,,,,184,23,157,,,62,,231,332,144
abc20,18,73.75,50.93,2.1,13.26,12.73,,0.16,7.32,10.61,2.22,0.44,0.2,,,,,,,207,,,,,143,6,305,,139
41,18.90861111,81.50611111,50.94,1.09,14,14.04,,0.19,5.83,9.33,2.93,1.21,0.14,,,,,,1.44,324,,68,,,80,70,144,,80
41,18.9086,81.5061,50.94,1.09,14,14.04,,0.19,5.83,9.33,2.93,1.21,0.14,,,,,,1.44,324,,68,,,80,70,144,,80
nw-82a,23.3,70,50.94,1.64,18.99,8.7792,,0.08,3.15,13.5,1.29,0.18,0.05,,,,,,,208.9,62.1,11.446,0.093,,47.9,6.618,0.886,389,82
nw-82a,23.3,70,50.94,1.64,18.99,8.78,,0.08,3.15,13.5,1.29,0.18,0.05,,,,,,,208.9,62.1,11.45,0.09,,47.9,6.62,0.89,389,82
dn-27,19,74,50.94,1.856,14.32,,11.68,0.19,7.02,10.86,2.44,0.52,0.177,,,,,,,81,,289,,,99,15,282,332,125
cat150,18.6917,73.3528,50.94,2.041,13.95,,13.06,0.204,6.07,10.85,2.34,0.37,0.177,,,,,,,68,37,127,,8,80,12,208,367,123
aj-02-51,20.5,75.8,50.94,2.54,13.71,,14.44,0.18,5.2,9.67,2.53,0.54,0.25,,,,,,,234,,100,,,70,21,250,425,201
ch-01,20.6,76.67,50.94,3.39,13.06,,14.55,0.19,4.93,9.38,2.41,0.76,0.39,,,,,,,265,,100,,,63,11,293,500,272
ak/rl4/a/2,16.83852778,79.27713889,50.94,4.28,6.71,7.29,,0.1,7.38,11.94,0.02,0.79,1.64,,,,,,8.54,535,36,420,0.5,,290,18,982,117,1101
ak/rl4/a/2,16.8385,79.2771,50.94,4.28,6.71,7.29,,0.1,7.38,11.94,0.02,0.79,1.64,,,,,,8.54,535,36,420,0.5,,290,18,982,117,1101
s53,15.1,76.76,50.95,0.92,13.88,11.42,,0.24,7.29,10.02,2.78,0.47,0.07,,,,,,1.06,73,64,386,2.54,,167,47,130,336,52
sb-49(a),20.7817,79.9532,50.95,0.96,12.96,12.77,,0.21,7.67,8.71,2.81,0.6,0.06,,,,,,0.84,110,36,434,,,135,29,99,285,83
abc41,18,73.75,50.95,2.01,13.76,14.43,,0.2,5.66,10.06,2.41,0.34,0.18,,,,,,,161,,,,,51,11,217,,134
ig-13,19.68,73.63,50.95,2.2,13.76,,13.12,0.18,6.05,10.08,2.68,0.76,0.22,,,,,,,216,,97,,,59,17,232,369,187
st-34,22,74.5,50.95,2.41,13.81,,12.97,0.18,6.09,10.93,2.28,0.17,0.21,,,,,,,162,,107,,,77,,278,432,156
jeb-332d,19.0167,73.3,50.95,2.655,13.03,,14.62,0.229,5.32,10.03,2.63,0.29,0.238,,,,,,,68,50,105,,9,70,18,243,420,160
ra99.02,17.7,82,50.95,2.76,13.43,,13.82,0.24,5.45,10.3,2.5,0.41,0.27,,,,,,,194,,80,0.18,,59,11.6,222,439,164
stv3,14.0476,78.4073,50.96,0.25,5.16,8.79,,0.14,30.34,4.16,0.08,0.08,0.05,,,,,,,16,,3544,0.15,,677,3.66,6.68,132,22
1118,14.2,76.4,50.96,0.91,13.22,2.02,8.98,,8.06,11.6,2.92,0.22,0.48,,,,,,,,,,,,,,,,
97/190,18.8106,81.655,50.96,1.23,13.96,15.85,,0.22,5.5,10.1,1.52,0.5,0.18,,,,,,0.31,269,,77,,,64,25,161,343,102
98ma84,14,79,50.96,1.38,13.89,15.57,,0.18,4.94,7.84,2.77,1.15,0.31,,,,,,1.6,296,52.3,86,,,57,28.2,239,220,115
98ma49,15.47,78.16,50.96,1.9,14.3,16.46,,0.2,5.87,5.72,4.61,1.07,0.28,,,,,,1.75,1243,60.9,106,,,75,24.6,176,299,150.3
bh 76,19.4833,73.9167,50.96,2.209,14.16,,12.5,0.189,6.44,10.51,2.33,0.52,0.187,,,,,,,66,,238,,,87,15,249,361,124
mh83-27,22.82,75.56,50.96,2.36,13.52,,13.68,0.22,6.05,10.74,2.4,0.41,0.22,,,,,,,162,,93,,,60,6,212,389,152
321,14.2,76.4,50.97,0.63,14.8,0.33,8.95,0.15,5.67,14.67,1.91,0.52,0.34,,,,,,,,,,,,,,,,
p21,14.875,77.375,50.97,0.64,13.33,11.84,,0.18,8.86,11.3,0.28,1.95,0.05,,,,,,0.95,41,63,436,0.4,,148,12.17,122,352,36
dhr-10-85,13.0551,76.4516,50.97,1.24,10.49,14.34,,0.19,9.91,9.31,3.22,0.18,0.14,,,,,,1.02,10.75,72.52,532.44,0.53,,158.35,4.44,169.1,283.16,114.32
wtd-48,19.86,73.525,50.97,1.35,14.03,13.78,,0.2,5.69,9.83,2.5,0.52,0.22,,,,,,0.73,126,43,58,,,50,17,147,339,95
jeb003,19.15,73.6,50.97,1.39,13.36,,10.92,0.15,8.81,10.84,2.9,0.43,0.23,,,,,,,163,,392,,,121,,311,275,93
jb04-51,22.58,80.47,50.97,2.19,14.59,,11.78,0.23,6.43,10.88,2.53,0.18,0.22,,,,,,,54,,173,,,80,,188,483,139
d15a,21.96,78.935,50.97,2.68,13.2,4.91,9.23,0.2,4.94,9.75,2.61,0.63,0.26,,,,,,0,111.8,79.1,40.2,0.1,,103.6,18.9,214.6,439.1,198.3
nbd-40,21.1755,74.6207,50.97864374,2.61713949,13.12611659,,14.40236053,0.212200499,5.497003408,10.2260431,1.980537993,0.67702064,0.282933999,,,,,,,140.9218707,46.306866,81.851245,0.103353,,55.651562,16.402987,181.986629,,162.3811945
d-8,11.1,78.46666667,50.98,0.33,4.31,9.63,,0.13,26.63,4.67,0.49,0.04,0.02,,,,,,,111.63,66.9,11232,2.01,,512.46,1.68,2.52,151.03,13.29
sp/90/65,21.1,80,50.98,0.99,14.3,12.35,,0.18,7.88,10.6,0.7,0.58,0.08,,,,,,0.54,,50,227,,,20,,,,
ddh-2,18.75,73.15,50.98,1.94,14.13,,11.51,0.18,7.53,10.76,2.51,0.28,0.18,,,,,,,99,,356,,,147,4,211,350,132
sw3,21.46,78.45,50.98,2.11,14.46,3.1,6.81,0.21,5.85,11.16,2.52,0.41,0.21,,,,,,,,,,,,,,,,
p16-sf-89-1,21.1,77.13,50.98,2.29,13.41,,13.84,0.15,5.94,10.94,2,0.26,0.19,,,,,,,85,,100,,,79,,199,457,152
pnk5,14.9013,77.3792,50.98,2.31,10.87,15.78,,0.19,9.32,5.75,3.02,0.3,0.29,,,,,,1.14,101,43,64,1.01,,45,9,191,327,169
ddh-022,18.75,73.15,50.98,2.51,12.93,,15.26,0.19,5.07,9.86,2.46,0.52,0.23,,,,,,,87,,88,,,47,13,200,410,158
dn-24,19.15,73.6,50.98,2.561,13.35,,14.59,0.217,5.35,9.77,2.47,0.48,0.248,,,,,,,68,,70,,,56,12,211,389,174
r-32,21.8,73.7,50.98,2.58,17.88,2.67,6.25,0.04,2.67,7.13,3.43,2.99,0.65,,,,,,,1890,,60,,,32,76,1225,243,365
ch-06-51,20.6,76.67,50.98,3.16,13.21,,14.46,0.18,5.05,9.48,1.96,1.18,0.34,,,,,,,206,,132,,,69,20,242,486,248
kvs-315,19.15,73.6,50.98,3.44,12.46,,15.2,0.237,4.9,9.44,2.59,0.42,0.335,,,,,,,92,,65,,,41,23,201,453,217
vb 280,14.12111111,78.41555556,50.99,0.302,5.56,9.58,,0.109,24.61,3.58,0.12,0.02,0.04,,,,,,5.63,9,,3530,,,970,,6,107,46
p42,14.875,77.375,50.99,0.59,13.2,10.97,,0.18,8.05,13.97,0.11,1.04,0.05,,,,,,0.7,15,59,539,0.63,,158,3.15,236,384,33
bs-1g,11.1,78.46666667,50.99,1.81,12.1,16.26,,0.18,5.36,8.59,1.89,0.62,0.27,,,,,,,219.78,43.69,15.4,3.28,,22.55,31.6,180.44,411.08,54.26
kop014,19.15,73.6,50.99,2.01,13.96,,11.91,0.19,7.6,10.52,2.26,0.36,0.2,,,,,,,100,,387,,,176,18.2,260.4,302,131
kb10-6-3,11.89,76.95,50.99,2.27,12.42,16.09,,0.19,4.74,8.52,1.98,0.88,0.42,,,,,,,352,47.1,44.2,,,46.4,39.7,146,462,167
mh83-15,22.82,75.56,50.99,3.08,14,,13.96,0.2,4.49,9.7,2.4,0.9,0.33,,,,,,,197,,49,,,41,21.99,309.05,374,207
wtkv10,10.56983333,78.16361111,51,0.42,27.3,2.82,,0.03,1.07,12,3.79,0.35,0.03,,,0.000004,,,1.67,140,,,,,,0.8,550,55,
km.2,24.5,73.7,51,0.52,6.5,10.48,,0.2,22.1,9.24,0.26,0.11,0.01,,,,,,4.47,,,3078,,,1003,3,5,118,36
km.2,24.93,73.82,51,0.52,6.5,10.48,,0.2,22.1,9.24,0.26,0.11,0.01,,,,,,4.47,0,,3078,,,1003,3,5,118,36
kgf10,13.13,78.13,51,0.72,9.2,,10.42,0.19,14.34,12,1.8,0.36,0.02,,,,,,,276,,1624,,,525,,232,154,66
kt9,13.25,75.25,51,0.75,14.2,,12.1,0.17,8.2,8.94,2.1,0.03,,,,0.12,,,4.2,51,38,446,,,189,3,142,151,89
y125,13.6,75.83,51,1.02,12.7,,12.4,0.17,7.8,10.33,2.3,0.52,0.12,,,,,,2.4,122,,165,,,175,9,223,,145
hg-3,16,76.75,51,1.27,12.9,,13.8,0.18,6,7.69,2.05,0.21,,,,,,,1.85,29,,139,,,120,,117,,71
be.6,24.93,73.82,51,1.47,13.9,12.36,,0.19,8.8,8.67,3.48,0.17,0.14,,,,,,0.54,14,,387,,,105,3,183,288,102
be.6,24.5,73.7,51,1.47,13.9,12.36,,0.19,8.8,8.67,3.48,0.17,0.14,,,,,,0.54,14,,387,,,105,3,183,288,102
bor017,19.15,73.6,51,1.52,14.51,,11.17,0.16,8.23,10.56,2.03,0.65,0.17,,,,,,,188,44,200,,,151,,331,262,118
ali-7,18.75,73.15,51,1.79,14.1,,11.87,0.19,7.23,10.48,2.35,0.81,0.17,,,,,,,96,,348,,,146,26,182,335,127
v-286,14.875,74.7,51,1.8,12,2.9,10.1,0.1,8.9,7.9,2.7,1.3,,,,,,,1.1,,,173,,,339,14,,,
k35e,14.2,79.68,51,1.84,12.56,6.29,7.92,0.19,8.79,6.28,2.9,0.22,0.21,,,,,,0.73,,,,,,,,,,
k35e,15.25,79.58333333,51,1.84,12.56,6.29,7.92,0.19,8.79,6.28,2.9,0.22,0.21,,,,,,0.73,,,,,,,,,,
rt2,17.05,81.57,51,2.74,13,,14.2,0.24,5.5,10,2.55,0.42,0.27,,,,,,0.6,270,,60,0.1,,50,7.6,220,415,170
ddh-076,18.8917,73.8583,51,2.848,12.94,,14.48,0.218,5.27,9.93,2.64,0.4,0.277,,,,,,,94,41,108,,8,69,18,206,417,185
nvc/r-5/b/1,16.8306,79.2883,51,4.04,6.28,7.59,,0.08,8.5,11.25,0.1,0.08,1.94,,,,,,7.37,1343,32,350,0.5,,240,3,1071,111,1035
nvc/r-5/b/1,16.83061111,79.28827778,51,4.04,6.28,7.59,,0.08,8.5,11.25,0.1,0.08,1.94,,,,,,7.37,1343,32,350,0.5,,240,3,1071,111,1035
tvkr2,14.0469,78.4375,51.01,0.14,5.3,7.3,,0.11,33.74,2.29,0.04,0.02,0.03,,,,,,,7,,3784,0.34,,916,0.92,2.87,127,18
d-2a,11.1,78.46666667,51.01,0.43,4.81,9.13,,0.09,26.03,5.47,0.52,0.04,0.02,,,,,,,249.71,62.55,7058.38,1.18,,477.77,1.12,3.7,171.78,7.91
97/356,18.8042,81.2622,51.01,0.53,14.26,11.79,,0.17,8.14,10.51,1.72,0.25,0.08,,,,,,0.88,56,,,,,,,154,220,49
6,16.15,76.65,51.01,0.69,13.3,1.51,11.06,0.22,7.03,10.62,1.82,0.33,0.13,,,,,,,116,,,,,,6,180,,105
lak-16,14,78.13333333,51.01,0.96,13.91,16.15,,0.16,4.89,8.42,0.19,2.79,0.2,,,,,,1.45,289,65,383,0.08,,215,7.98,471,254,76
lak-16,14.1,78.1,51.01,0.96,13.91,16.15,,0.16,4.89,8.42,0.19,2.79,0.2,,,,,,1.45,289,65,383,0.08,,215,7.98,471,254,76
st-41,22,74.5,51.01,1.16,15.03,,11.68,0.18,6.78,11.83,2.07,0.16,0.1,,,,,,,63,,84,,,71,,110,291,87
sp/90/289,21.1,80,51.01,1.21,14.25,13.62,,0.19,6.62,11.04,0.83,0.29,0.1,,,,,,0.57,,30,147,,,25,,,,
ali-2,18.75,73.15,51.01,1.78,14.13,,11.51,0.17,7.76,10.65,2.37,0.44,0.17,,,,,,,80,,343,,,145,12,184,327,124
4.d1,22.42,75.54,51.01,2.17,13.49,15.59,,0.21,4.84,10.38,1.9,0.45,0.24,,,,,,,131,,,,,33,21,176,,141
4di,22,75.5,51.01,2.17,13.49,15.59,,0.21,4.84,10.38,1.9,0.45,0.24,,,,,,,131,,,,,33,21,176,,141
n8,22,75,51.01,2.58,14.22,5.63,6.45,0.19,5.76,9.95,2.79,0.94,0.3,,,,,,,246,,,,,,,325,,215
iga003,19.67,73.48,51.01,2.97,13.64,,14.3,0.2,4.74,9.09,2.65,1.1,0.29,,,,,,,212,,49,,,25,29.1,264.3,407,201
16-Aug,13.13,78.13,51.01666667,0.74,16.3,,10.40666667,0.18,7.3,12,1.76,0.09,,,,,,,,,,,,,,,,,
rky-22,15.90180556,76.08902778,51.02,0.63,10.62,11.51,,0.21,12.11,11.17,1.69,0.17,0.08,,,,,,1.25,13.37,89,935,,,150,6.26,57,227,12.28
rky-22,15.9018,76.0889,51.02,0.63,10.62,11.51,,0.21,12.11,11.17,1.69,0.17,0.08,,,,,,1.25,13.37,89,935,,,150,6.26,57,227,12.28
2,13.13,78.13,51.02,0.69,12.19,1.44,11.22,0.14,6.7,11.23,2.17,0.12,0.14,,,,,,,71,,,,,,3,81,,64
15,16.2,76.7,51.02,1.67,13.96,2.14,11.2,0.48,5.96,8.75,3.15,0.76,0.12,,,,,,0.86,,,,,,,,,,119
st-38,22,74.5,51.02,1.86,14.21,,13.42,0.19,5.8,10.71,2.3,0.31,0.18,,,,,,,109,,104,,,63,2,159,420,116
2,22.475,73.56,51.02,2.25,15.34,0.27,13.99,0.15,3.37,5.88,3.86,0.5,0.67,,,,,,,200,50,35,,30,60,,100,35,
au83-14,20.5,75.5,51.02,2.71,13.68,,13.16,0.21,5.82,10.12,2.55,0.47,0.27,,,,,,,110,,177,,,63,10,220,455,169
ddw029,18.75,73.15,51.02,2.84,13.63,,14.51,0.21,4.68,8.91,2.63,1.28,0.3,,,,,,,284,,67,,,47,38,259,410,200
ch83-24,21.69,77.91,51.02,2.96,13.95,,13.73,0.2,4.63,9.5,2.4,1.01,0.33,,,,,,,236,,117,,,53,10.925,268.5,381,215
mha004,21,75,51.02,3.11,12.75,,14.99,0.23,5.27,9.4,2.4,0.52,0.31,,,,,,,175,,89,,,35,10,272,460,200
jb05-51,22.58,80.47,51.02,3.42,13.42,,15.98,0.2,2.94,8.85,2.65,0.61,0.91,,,,,,,250,,11,,,31,18,290,356,577
7,16.2,76.7,51.03,1.07,14.62,2.88,6.32,0.19,8.04,11.89,1.75,0.21,0.15,,,,,,1.49,,,,,,,,,,20
2,16.2,76.7,51.03,1.12,13.56,5.29,8.96,0.54,4.75,10.9,2.2,0.14,0.94,,,,,,0.54,227,71,201,,8,160,12,144,278,44
d107,21.5,70.5,51.03,1.23,15.28,11.14,,0.16,8.03,10.45,2.09,0.47,0.13,,,,,,,241,,249,,,121,8,228,246,97
ig1,19.68,73.63,51.03,1.9,14.05,2.76,9.09,0.18,6.57,10.15,2.38,0.6,0.19,,,,,,0.99,157,49,288,,,104,17,289,310,128
20,14.08,78.095,51.03,2.23,11.94,2.72,7.52,0.6,9.53,10.54,1.75,0.6,0.52,,,,,,,,,,,,,,,,
ddh-124,19.3333,73.4833,51.03,3.222,12.93,,15.29,0.199,4.91,8.82,2.43,0.84,0.32,,,,,,,110,42,76,,9,41,18,195,420,211
22-May,13.13,78.13,51.04,0.86,15.11,,11.32,0.2,7.76,10.36,2.33,0.1,,,,,,,,26,53,477,,,82,3,125,248,69
plh14,18.9,72.85,51.04,1.06,14.24,3.45,8.92,0.22,5.89,8.99,2.68,0.95,0.16,0.23,,,,,2.25,,,,,,,,,,
mh83-14,22.82,75.56,51.04,2.54,14.48,,12.73,0.2,5.54,10.79,2.39,0.53,0.25,,,,,,,138,,63,,,50,9,296,367,164
d156,21.96,78.935,51.04,2.87,13.19,4.26,8.01,0.2,6.26,8.3,2.16,1.16,0.39,,,,,,0.31,164.9,71.4,34.5,0.7,,46.5,21.2,200.9,411,229.2
jeb438d,19,73.5083,51.04,2.959,12.73,,14.78,0.229,4.87,9.73,2.61,0.75,0.309,,,,,,,98,54,75,,17,43,16.55,196.7,413,199
14,12.7,76.29,51.05,0.15,7.02,2.02,9.85,0.25,18.15,9.75,1.15,0.15,0.05,,,,,,0.96,,,,,,,,,,
z37,14.275,77.55,51.05,0.86,15.02,,12.57,0.19,8.06,9.01,1.85,0.13,,,,,,,,41,,240,,,132,,81,,42
g-32,16.125,78.75,51.05,0.9,14,12.14,,0.14,7.56,11.19,2.82,0.09,0.09,,,,,,,54,53,199,1.12,,129,7,226,232,48
7.dna,22,75.5,51.05,1.02,13.49,9.98,,0.14,5.29,5.82,2.63,5.99,0.67,,,,,,,129,,,,,10,15,281,,205
99ma37,14.5,79,51.05,1.09,14.69,12.5,,0.18,7.12,9.22,2.75,1.33,0.13,,,,,,2.38,263,54.8,168,,,89,37.3,216,205,82.3
pl5,21.5,73.8,51.05,1.26,15.02,1.85,9.22,0.2,6.67,11.24,2.45,0.95,0.09,,,,,,5.52,323,43.3,174,0.293,,116,22.8,261,239,113
pnk6,14.9013,77.3792,51.05,1.67,12.03,14.63,,0.16,7.68,8.03,2.6,0.3,0.21,,,,,,1.93,105,43,122,0.26,,52,6,328,271,148
ch-25-51,20.6,76.67,51.05,2.41,13.65,,13.17,0.16,5.91,10.36,2.37,0.67,0.25,,,,,,,119,,113,,,82,18,205,449,167
jh-47,19.15,73.6,51.05,2.456,12.88,,14.96,0.237,5.5,9.73,2.36,0.6,0.219,,,,,,,67,,84,,,58,16,191,437,150
ddh-101,18.8556,73.1472,51.05,2.547,14.65,,13.31,0.192,4.86,9.13,3.03,0.93,0.304,,,,,,,253,42,73,,10,72,25,364,335,185
sb-3,20.8505,79.5373,51.06,0.77,25.43,10.41,,0.19,4.33,0.59,1.73,4.06,0.06,,,,,,0.5,690,23,572,,,85,189,104,134,129
wtd-37,19.86,73.525,51.06,1.25,14.16,13.05,,0.19,6.16,10.3,2.37,0.56,0.2,,,,,,0.54,108,44,136,,,69,23,130,339,93
ali-8,18.75,73.15,51.06,1.79,14.12,,11.57,0.19,7.67,10.9,2.29,0.24,0.17,,,,,,,85,,336,,,146,2,195,345,126
12,14.08,78.095,51.06,2.11,12.78,1.58,10.68,0,7.2,9.42,2,1.5,0.52,,,,,,,,,,,,,,,,
ddh-091,20.0028,73.725,51.06,2.133,14.64,,11.88,0.194,6.02,11.21,2.42,0.25,0.192,,,,,,,61,37,221,,7,92,11,268,330,133
11,14.08,78.095,51.06,2.46,13.23,2.69,9.2,0.8,7,9.2,2.2,1.1,0.47,,,,,,,,,,,,,,,,
au83-3,20,75,51.06,2.94,12.93,,14.07,0.21,5.92,9.63,2.35,,0.32,,,,,,,189,,109,,,50,7,268,410,191
ig82-20,19.15,73.6,51.06,3.19,13.39,,14.55,,4.58,9.18,2.63,1.14,0.3,,,,,,,124,,,,,163,12.85,198,331,139
bo 31,19.4167,73.975,51.06,3.226,12.57,,15.21,0.23,4.96,9.51,2.54,0.38,0.317,,,,,,,105,58,67,,12,40,24,204,429,209
ddh-122,19.2694,73.4472,51.06,3.274,12.47,,15.21,0.238,4.88,9.45,2.28,0.82,0.331,,,,,,,169,43,79,,10,35,22,227,427,215
jeb163,19.15,73.6,51.06,3.51,12.5,,15.45,0.2,4.43,9.15,2.73,0.57,0.4,,,,,,,244,,84,,,67,22,276,402,213
w17-4,14.275,77.525,51.07,0.81,15.23,,11.81,0.2,7.82,11.15,1.63,0.1,,,,,,,,,,,,,,,,,41
d102,21.5,70.5,51.07,1.28,13.93,13.97,,0.23,6.22,10.08,2.57,0.5,0.15,,,,,,,172,,40,,,45,21,129,381,101
pl7,21.5,73.8,51.07,1.64,14.23,1.83,9.14,0.17,6.92,9.9,2.99,1.77,0.32,,,,,,4.7,305,40.8,297,0.293,,68.2,55,306,292,129
kt-02-51,18.2,73.92,51.07,1.96,14.28,,11.15,0.18,7.11,11.64,2.13,0.3,0.18,,,,,,,79,,310,,,114,4,215,392,132
bh 87,19.3833,74.0333,51.07,2.636,13.17,,14.61,0.217,5.31,9.94,2.51,0.3,0.236,,,,,,,38,,88,,,59,13,240,422,159
