Sample,Latitude,Longitude,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,CO2,SO3,S,F ,Cl,LOI,Ba,Co,Cr,Cs,Li,Ni,Rb,Sr,V,Zr
ug 191,24.616,80.036,36.5,3.76,6.07,3.87,3.85,0.14,25.45,3.4,0.18,1.21,1.87,0.74,,,,,,2400,,,,,,,,,
83022,14.92,77.3,36.54,1.41,3.55,9.29,,0.14,28.84,8.2,,0.92,0.49,2.41,,,,0.0129,,1230.6,83.1,1283.5,4.1,8.4,1261.8,109.6,724.9,75.8,133.5
83022,14.9233,77.2967,36.54,1.41,3.55,9.29,,0.14,28.84,8.85562811,,0.92,0.49,2.41,,0.02,,0.0129,,1300.277,90.03795,1211.747,2.0705,8.3934,1235.878,109.8081,735.2023239,80.421,134.2416
13,16.73,77.59,36.55,2.86,4.16,12.95,,0.18,24.2,9.38,,0.37,0.55,0.74,,,,0.0058,,566.3,90.1,1119.6,18,96.1,931.9,68.2,329.7,196.1,237.8
13,16.7267,77.59,36.55,2.86,4.16,12.95,,0.18,24.2,9.842182834,,0.37,0.55,0.74,,0.04,,0.0058,,588.16505,90.0413,1109.809,17.60165,96.0624,930.9539,68.1005,354.0265689,192.54435,238.87515
sr/3,20.9896,82.774,36.56,5.27,7.79,16.44,,0.2,5.81,12.91,1.29,3.07,1.02,,,,,,8.12,2382,59,140,5.8,,110,121.055,894.72,361,507
sr/3,20.98955556,82.774,36.56,5.27,7.79,16.44,,0.2,5.81,12.91,1.29,3.07,1.02,,,,,,8.12,2382,59,140,5.8,,110,144,,361,507
r-306,13.9958,76.2789,36.7,0.64,6.48,7.21,,0.13,34.62,2.04,,,1.51,,,,,,10.17,0,,,,,,,,,
98ma119bo,14.85,77.32,36.7,5.33,4.18,14.93,,0.21,22.43,12.08,0.4,2.04,1,,,,,,6.83,1550,93.1,806,,,833,165.3,1167,316,410.7
95-bmr-039,25.72,71.92,36.7,6.04,11.01,17.08,,0.21,8.73,15.62,3.23,1.64,0.75,,,,0.02,,0.46,,,233,,,59,46.1,943.8,,328
nvc/s-2/1,16.8807,79.3548,36.79,3.51,6.48,7.81,,0.14,7.99,19.24,0.03,0.13,1.72,,,,,,13.95,206,41,460,0.5,,350,3,957,135,793
nvc/s-2/1,16.88072222,79.35475,36.79,3.51,6.48,7.81,,0.14,7.99,19.24,0.03,0.13,1.72,,,,,,13.95,206,41,460,0.5,,350,3,957,135,793
d1,19.025,81.885,36.84,2.15,3.43,11.17,,0.17,31.61,1.12,,,0.58,,,,,,12.53,43,56,1076,,,1220,0,29.3,43,169
c1,19.025,81.885,36.88,2.03,3.5,12.59,,0.21,30.71,0.74,,,0.51,,,,,,12.58,53,73,1017,,,1180,0,23.1,27,155
95-bmr-037,25.72,71.92,36.9,5.82,10.95,15.96,,0.2,9.93,14.13,2.79,2.16,0.68,,,,0.01,0.01,1.41,,,573,,,103,63.2,812.7,,287
g1,19.025,81.885,37.04,2.1,2.83,10.87,,0.12,25.15,6.32,0.03,,0.52,,,,,,13.52,5511,64,1197,,,921,0,12.8,86,130
li-22,13.6954,75.6381,37.17,0.58,13.3,12.05,,0.14,29.25,4.28,0.07,0.02,0.02,,,,,,2.4,22.6,35,136,0.03,,1066,0.7,7.2,315,166
b5/1,13.25,76.67,37.18,0.1,2.98,6.07,,0.11,34.06,2.37,0.2,0.04,,,,,,,17.58,2.32,105,2557,,,2040,3.56,35.01,69,0.7
080/38-41,16.67,77.12,37.25,2.51,4.26,11.56,,0.17,24.32,8.59,,1.71,0.67,0.59,,,,0.0176,,1328.1,82.9,1367.9,10.3,48,997.8,99.3,560,142.3,213.5
080/38-41,16.665,77.1167,37.25,2.51,4.26,11.56,,0.17,24.32,8.950188866,,1.71,0.67,0.59,,0.06,,0.0176,,1404.0455,87.929,1378.9585,8.1574,48.0051,1003.9005,102.6582,594.1437102,146.6538,218.26165
dhr-10-108,13.0592,76.4429,37.35,1.57,16.22,22.89,,0.17,11.4,8.81,1.46,0.1,0.03,,,,,,3.49,15.24,96.76,92.77,0.04,,165.73,0.85,157.37,790.4,14.1
